speaker	phone	vowel	duration	ceiling	variance	F1	F2	F3	F1Bk	F2Bk	F3Bk	start	word	filename	status
PSX	ə	ə	0.036	6270	0.063	647	1725	2675	6.14	11.92	14.86	244.691	pʼˤáˤrˤpʼəlʲa	archi-phon-2006-PSX-2-stops	Auto
PSX	a	a	0.107	5850	0.316	861	1849	2813	7.65	12.38	15.20	244.806	pʼˤáˤrˤpʼəlʲa	archi-phon-2006-PSX-2-stops	Auto
PSX	áːˤ	a	0.205	5210	0.087	932	1719	2600	8.10	11.90	14.66	245.374	pʼˤáːˤrˤpʼˤaˤlʲà	archi-phon-2006-PSX-2-stops	Auto
PSX	aˤ	a	0.085	5850	0.096	749	1756	2740	6.89	12.04	15.02	245.721	pʼˤáːˤrˤpʼˤaˤlʲà	archi-phon-2006-PSX-2-stops	Auto
PSX	à	a	0.213	6350	0.552	688	1725	2635	6.45	11.92	14.75	245.900	pʼˤáːˤrˤpʼˤaˤlʲà	archi-phon-2006-PSX-2-stops	Auto
PSX	áˤ	a	0.161	5190	0.081	828	1767	2829	7.44	12.08	15.24	246.574	p̆ʼˤáˤrˤpʼalʲa	archi-phon-2006-PSX-2-stops	Auto
PSX	a	a	0.051	5650	0.013	699	1929	2699	6.54	12.66	14.92	246.874	p̆ʼˤáˤrˤpʼalʲa	archi-phon-2006-PSX-2-stops	Auto
PSX	a	a	0.146	5210	0.147	785	1912	2940	7.14	12.60	15.50	247.016	p̆ʼˤáˤrˤpʼalʲa	archi-phon-2006-PSX-2-stops	Auto
PSX	áˤ	a	0.230	5790	0.047	873	1707	2416	7.73	11.85	14.16	250.615	ʧʼˤáˤpʼˤi	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	0.292	6180	0.262	436	2795	3585	4.40	15.16	16.86	250.984	ʧʼˤáˤpʼˤi	archi-phon-2006-PSX-2-stops	Auto
PSX	áˤ	a	0.165	5030	0.086	870	1602	2454	7.71	11.44	14.27	251.553	ʧʼˤáˤpʼˤiˤ	archi-phon-2006-PSX-2-stops	Auto
PSX	iˤ	i	0.256	6460	0.482	428	2777	3557	4.33	15.11	16.81	251.831	ʧʼˤáˤpʼˤiˤ	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.192	5670	0.168	791	1790	2952	7.18	12.16	15.53	254.778	lʲápːus	archi-phon-2006-PSX-2-stops	Auto
PSX	u	u	0.087	5690	0.468	436	1394	2817	4.40	10.55	15.21	255.162	lʲápːus	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.216	5550	0.115	733	1884	3089	6.78	12.50	15.84	255.645	lʲápːus	archi-phon-2006-PSX-2-stops	Auto
PSX	u	u	0.061	5110	0.373	455	1685	2855	4.57	11.77	15.30	255.987	lʲápːus	archi-phon-2006-PSX-2-stops	Auto
PSX	í	i	0.206	7060	0.161	416	2702	3634	4.22	14.92	16.95	259.766	ɬípːu	archi-phon-2006-PSX-2-stops	Auto
PSX	u	u	0.279	5570	0.165	471	946	3151	4.71	8.19	15.98	260.166	ɬípːu	archi-phon-2006-PSX-2-stops	Auto
PSX	í	i	0.156	7100	0.177	412	2543	3607	4.18	14.51	16.90	260.662	ɬípːu	archi-phon-2006-PSX-2-stops	Auto
PSX	u	u	0.187	4670	4.244	408	817	2277	4.14	7.36	13.77	261.005	ɬípːu	archi-phon-2006-PSX-2-stops	Auto
