speaker	vowel	phone	time	duration	F1	F2	F3	ceiling	F1Bk	F2Bk	F3Bk	filename	status
PSX	e	éˤ	70.385	0.137	559	1903	2850	5950	5.45	12.56	15.29	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éːˤ	92.278	0.182	569	2122	2765	5950	5.53	13.29	15.08	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éːˤ	94.238	0.187	518	2177	2698	5950	5.11	13.46	14.91	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éːˤ	99.159	0.236	525	2262	2795	5950	5.17	13.72	15.15	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éːˤ	100.194	0.269	512	2322	2737	5950	5.06	13.90	15.01	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éːˤ	101.135	0.383	551	2128	2492	5950	5.38	13.31	14.37	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éːˤ	102.644	0.256	482	2371	3053	5950	4.80	14.04	15.76	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éːˤ	103.629	0.412	526	2305	2895	5950	5.18	13.85	15.39	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éːˤ	104.729	0.284	462	2352	2933	5950	4.63	13.98	15.48	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	ẽ́ˤ	477.359	0.144	627	2078	2706	5950	5.99	13.15	14.92	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	ẽ́ˤ	479.409	0.117	486	2187	2417	5950	4.84	13.50	14.17	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	619.096	0.234	496	2364	2812	5950	4.92	14.02	15.19	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	620.343	0.181	422	2385	2868	5950	4.27	14.07	15.33	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	636.970	0.158	564	1986	2600	5950	5.49	12.85	14.65	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	637.878	0.180	492	2049	2667	5950	4.89	13.06	14.83	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	644.336	0.274	517	2152	2783	5950	5.10	13.35	15.10	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	645.230	0.164	450	2338	3269	5950	4.51	13.94	16.22	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	648.035	0.246	576	2227	2736	5950	5.55	13.60	15.00	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	667.529	0.344	641	2044	2421	5950	6.08	13.00	14.16	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	668.627	0.237	508	2424	2674	5950	5.02	14.18	14.85	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	671.556	0.391	682	1978	2402	5950	6.40	12.80	14.08	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	éˤ	672.793	0.288	486	2292	2786	5950	4.83	13.80	15.13	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	e	28.844	0.102	547	2436	3243	5550	5.36	14.22	16.17	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	e	29.733	0.062	489	2340	2994	5550	4.86	13.95	15.62	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	e	50.233	0.104	528	2462	3256	5550	5.20	14.29	16.20	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	e	51.526	0.119	480	2484	3156	5550	4.79	14.35	15.99	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	e	78.126	0.105	587	2298	3179	5550	5.68	13.83	16.03	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	e	79.598	0.070	482	2169	2783	5550	4.80	13.44	15.12	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	e	310.971	0.098	484	2199	2955	5550	4.82	13.51	15.54	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	e	312.008	0.115	526	2243	3218	5550	5.18	13.64	16.12	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	e	401.648	0.058	449	2347	2771	5550	4.52	13.97	15.10	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	e	403.372	0.058	552	2070	2907	5550	5.38	13.12	15.42	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	e	493.026	0.089	433	2405	3065	5550	4.38	14.13	15.78	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	eˤ	349.393	0.084	591	1800	2683	6000	5.71	12.20	14.87	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	eˤ	350.385	0.075	544	1732	2694	6000	5.33	11.95	14.90	archi-phon-2006-PSX-1-vowels	Auto
